datetime,price,type
2025-05-27T01:30:00.000000000,0.89135,High
2025-05-27T15:00:00.000000000,0.88574,Low
2025-05-28T01:30:00.000000000,0.8911,High
2025-05-28T02:00:00.000000000,0.88827,Low
2025-05-28T08:00:00.000000000,0.891,High
2025-05-28T14:30:00.000000000,0.88593,Low
2025-05-28T23:00:00.000000000,0.89061,High
2025-05-29T02:00:00.000000000,0.88755,Low
2025-05-29T12:30:00.000000000,0.89103,High
2025-05-29T14:00:00.000000000,0.88867,Low
2025-05-30T01:00:00.000000000,0.89058,High
2025-06-01T21:00:00.000000000,0.88309,Low
2025-06-02T01:00:00.000000000,0.88705,High
2025-06-02T03:30:00.000000000,0.88457,Low
2025-06-02T20:30:00.000000000,0.89106,High
2025-06-03T13:30:00.000000000,0.88523,Low
2025-06-03T17:00:00.000000000,0.88753,High
2025-06-03T21:00:00.000000000,0.88461,Low
2025-06-04T02:00:00.000000000,0.88814,High
2025-06-04T05:30:00.000000000,0.88541,Low
2025-06-04T14:00:00.000000000,0.88963,High
2025-06-04T21:00:00.000000000,0.88606,Low
2025-06-05T01:00:00.000000000,0.88963,High
2025-06-05T03:30:00.000000000,0.88716,Low
2025-06-05T13:00:00.000000000,0.89178,High
2025-06-06T12:30:00.000000000,0.88648,Low
2025-06-09T08:30:00.000000000,0.89324,High
2025-06-09T13:00:00.000000000,0.89055,Low
2025-06-09T14:00:00.000000000,0.89292,High
2025-06-09T21:00:00.000000000,0.88996,Low
2025-06-10T04:00:00.000000000,0.89468,High
2025-06-10T07:00:00.000000000,0.89062,Low
2025-06-10T13:30:00.000000000,0.89355,High
2025-06-11T03:00:00.000000000,0.88882,Low
2025-06-11T12:30:00.000000000,0.89368,High
2025-06-12T01:30:00.000000000,0.8861,Low
2025-06-12T03:30:00.000000000,0.88864,High
2025-06-12T07:30:00.000000000,0.8854,Low
2025-06-12T12:30:00.000000000,0.88967,High
2025-06-13T01:00:00.000000000,0.88031,Low
2025-06-13T02:00:00.000000000,0.88476,High
2025-06-13T13:00:00.000000000,0.8812,Low
2025-06-13T17:00:00.000000000,0.88482,High
2025-06-15T21:00:00.000000000,0.87916,Low
2025-06-16T14:00:00.000000000,0.88732,High
2025-06-17T00:00:00.000000000,0.88294,Low
2025-06-17T06:30:00.000000000,0.88817,High
2025-06-17T18:00:00.000000000,0.882,Low
2025-06-18T06:30:00.000000000,0.88926,High
2025-06-18T12:30:00.000000000,0.8863,Low
2025-06-18T18:00:00.000000000,0.89256,High
2025-06-19T21:00:00.000000000,0.88531,Low
2025-06-20T12:30:00.000000000,0.8905,High
2025-06-23T11:30:00.000000000,0.87897,Low
2025-06-24T11:30:00.000000000,0.89327,High
2025-06-24T13:30:00.000000000,0.88964,Low
2025-06-24T19:00:00.000000000,0.89267,High
2025-06-24T21:00:00.000000000,0.88859,Low
2025-06-25T03:00:00.000000000,0.89305,High
2025-06-25T14:00:00.000000000,0.89073,Low
2025-06-26T08:30:00.000000000,0.89607,High
2025-06-26T15:00:00.000000000,0.89226,Low
2025-06-26T17:30:00.000000000,0.89383,High
2025-06-26T21:00:00.000000000,0.89188,Low
2025-06-27T03:00:00.000000000,0.89448,High
2025-06-27T14:00:00.000000000,0.89046,Low
2025-06-27T17:30:00.000000000,0.89604,High
2025-06-30T12:30:00.000000000,0.89206,Low
2025-06-30T18:30:00.000000000,0.89665,High
2025-06-30T21:00:00.000000000,0.89225,Low
